repository,year,month,release_count,working_day_count
stackflow,2025,5,5,5
stackflow,2025,4,2,2
stackflow,2025,3,4,4
stackflow,2025,2,4,4
stackflow,2025,1,5,5
stackflow,2024,12,4,4
stackflow,2024,11,2,2
stackflow,2024,10,1,1
stackflow,2024,9,16,16
stackflow,2024,8,23,23
stackflow,2024,7,44,44
stackflow,2024,5,4,4
stackflow,2024,2,10,10
stackflow,2024,1,18,17
stackflow,2023,12,17,16
seed-design,2025,6,10,10
seed-design,2025,5,83,83
seed-design,2025,4,80,80
seed-design,2025,3,46,46
seed-design,2025,2,56,56
seed-design,2024,1,1,1
seed-design,2023,7,3,3
seed-design,2023,5,1,1
seed-design,2023,4,4,4
seed-design,2023,3,4,2
seed-design,2023,2,16,16
seed-design,2023,1,2,2
seed-design,2022,12,5,5
seed-design,2022,11,12,12
seed-design,2022,10,1,1
seed-design,2022,3,1,1
seed-design,2021,10,4,4
