repository_name,release_id,tag_name,release_name,html_url,is_draft,is_prerelease,created_at,published_at,author_login,author_type,body_content,target_commitish,assets_count,tarball_url,zipball_url,published_year,published_month,published_day,published_week,body_length
stackflow,221756397,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.2,false,false,2025-05-29T08:08:55Z,2025-05-29T08:08:59Z,github-actions[bot],User,"### Patch Changes

-   d2c50f3: fix(react-ui-core): add `preventSwipeBack` into effect dependencies
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react-ui-core@1.3.2,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react-ui-core@1.3.2,2025,5,29,21,100
stackflow,221756390,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.2,false,false,2025-05-29T08:08:55Z,2025-05-29T08:08:56Z,github-actions[bot],User,"### Patch Changes

-   371a39c: fix(plugin-basic-ui): update dependencies
-   Updated dependencies [d2c50f3]
    -   @stackflow/react-ui-core@1.3.2
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/plugin-basic-ui@1.14.2,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/plugin-basic-ui@1.14.2,2025,5,29,21,148
stackflow,218765570,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.1,false,false,2025-05-15T09:07:58Z,2025-05-15T09:08:02Z,github-actions[bot],User,"### Patch Changes

-   aef952a: fix(react-ui-core): prevent default `touchend` event
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react-ui-core@1.3.1,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react-ui-core@1.3.1,2025,5,15,19,85
stackflow,218765559,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.1,false,false,2025-05-15T09:07:58Z,2025-05-15T09:07:59Z,github-actions[bot],User,"### Patch Changes

-   aef952a: fix(plugin-basic-ui): prevent touch events while transitioning for other basic components
-   Updated dependencies [aef952a]
    -   @stackflow/react-ui-core@1.3.1
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/plugin-basic-ui@1.14.1,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/plugin-basic-ui@1.14.1,2025,5,15,19,196
stackflow,217906393,@stackflow/react@1.5.2,@stackflow/react@1.5.2,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.2,false,false,2025-05-12T07:52:16Z,2025-05-12T07:52:17Z,github-actions[bot],User,"### Patch Changes

-   b9dc68a: fix(react): remove unused dependencies
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react@1.5.2,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react@1.5.2,2025,5,12,19,71
stackflow,211240605,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.0,false,false,2025-04-09T10:08:18Z,2025-04-09T10:08:22Z,github-actions[bot],User,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react-ui-core@1.3.0,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react-ui-core@1.3.0,2025,4,9,14,120
stackflow,211240595,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.0,false,false,2025-04-09T10:08:18Z,2025-04-09T10:08:19Z,github-actions[bot],User,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""

### Patch Changes

-   Updated dependencies [a7650d4]
    -   @stackflow/react-ui-core@1.3.0
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/plugin-basic-ui@1.14.0,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/plugin-basic-ui@1.14.0,2025,4,9,14,214
stackflow,208587923,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.3,false,false,2025-03-27T06:55:21Z,2025-03-27T06:55:24Z,github-actions[bot],User,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react-ui-core@1.2.3,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react-ui-core@1.2.3,2025,3,27,12,76
stackflow,208587919,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.1,false,false,2025-03-27T06:55:21Z,2025-03-27T06:55:22Z,github-actions[bot],User,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
-   Updated dependencies [5c4b96c]
    -   @stackflow/react-ui-core@1.2.3
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/plugin-basic-ui@1.13.1,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/plugin-basic-ui@1.13.1,2025,3,27,12,150
stackflow,205775211,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.2,false,false,2025-03-14T06:58:30Z,2025-03-14T06:58:35Z,github-actions[bot],User,"### Patch Changes

-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while transitioning
",main,0,https://api.github.com/repos/daangn/stackflow/tarball/@stackflow/react-ui-core@1.2.2,https://api.github.com/repos/daangn/stackflow/zipball/@stackflow/react-ui-core@1.2.2,2025,3,14,10,109
