repository,year,week,release_count,working_day_count
stackflow,2025,21,2,2
stackflow,2025,19,3,3
stackflow,2025,14,2,2
stackflow,2025,12,2,2
stackflow,2025,10,2,2
stackflow,2025,8,1,1
stackflow,2025,6,3,3
stackflow,2025,3,5,5
stackflow,2024,51,4,4
stackflow,2024,47,1,1
stackflow,2024,45,1,1
stackflow,2024,43,1,1
stackflow,2024,39,5,5
stackflow,2024,37,1,1
stackflow,2024,36,10,10
stackflow,2024,34,1,1
stackflow,2024,33,15,15
stackflow,2024,32,5,5
stackflow,2024,31,14,14
stackflow,2024,30,30,30
stackflow,2024,28,2,2
stackflow,2024,22,1,1
stackflow,2024,21,3,3
stackflow,2024,7,10,10
stackflow,2024,5,13,13
stackflow,2024,4,2,2
stackflow,2024,3,3,2
stackflow,2023,51,16,15
stackflow,2023,48,1,1
seed-design,2025,22,10,10
seed-design,2025,21,53,53
seed-design,2025,20,13,13
seed-design,2025,18,9,9
seed-design,2025,17,39,39
seed-design,2025,16,30,30
seed-design,2025,15,18,18
seed-design,2025,14,1,1
seed-design,2025,12,1,1
seed-design,2025,11,8,8
seed-design,2025,10,23,23
seed-design,2025,9,14,14
seed-design,2025,8,31,31
seed-design,2025,7,25,25
seed-design,2024,5,1,1
seed-design,2023,31,1,1
seed-design,2023,29,1,1
seed-design,2023,27,1,1
seed-design,2023,21,1,1
seed-design,2023,17,1,1
seed-design,2023,16,2,2
seed-design,2023,15,1,1
seed-design,2023,10,4,2
seed-design,2023,8,5,5
seed-design,2023,7,5,5
seed-design,2023,6,6,6
seed-design,2023,3,2,2
seed-design,2022,49,5,5
seed-design,2022,48,2,2
seed-design,2022,47,8,8
seed-design,2022,46,2,2
seed-design,2022,40,1,1
seed-design,2022,10,1,1
seed-design,2021,41,4,4
