repository,release_tag,working_days_since_previous_release
stackflow,@stackflow/core@1.0.9,16
stackflow,@stackflow/compat-await-push@1.1.6,1
stackflow,@stackflow/plugin-basic-ui@1.4.2,1
stackflow,@stackflow/link@1.3.15,1
stackflow,@stackflow/plugin-devtools@0.1.7,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.8,1
stackflow,@stackflow/plugin-history-sync@1.3.14,1
stackflow,@stackflow/plugin-preload@1.2.14,1
stackflow,@stackflow/plugin-renderer-basic@1.1.6,1
stackflow,@stackflow/plugin-renderer-web@1.1.6,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.4,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.0,1
stackflow,@stackflow/react@1.1.6,1
stackflow,@stackflow/esbuild-config@1.0.1,1
stackflow,@stackflow/eslint-config@1.0.2,1
stackflow,@stackflow/plugin-basic-ui@1.5.0,1
stackflow,@stackflow/plugin-basic-ui@1.5.1,17
stackflow,@stackflow/plugin-history-sync@1.3.15,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.1,4
stackflow,@stackflow/plugin-history-sync@1.3.16,1
stackflow,@stackflow/plugin-history-sync@1.3.17,2
stackflow,@stackflow/core@1.0.10,6
stackflow,@stackflow/compat-await-push@1.1.7,1
stackflow,@stackflow/link@1.3.16,1
stackflow,@stackflow/plugin-basic-ui@1.5.2,1
stackflow,@stackflow/plugin-devtools@0.1.8,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.9,1
stackflow,@stackflow/plugin-history-sync@1.3.18,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.5,1
stackflow,@stackflow/plugin-preload@1.2.15,1
stackflow,@stackflow/plugin-renderer-basic@1.1.7,1
stackflow,@stackflow/plugin-renderer-web@1.1.7,1
stackflow,@stackflow/react@1.1.7,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.2,1
stackflow,@stackflow/compat-await-push@1.1.8,11
stackflow,@stackflow/link@1.4.0,1
stackflow,@stackflow/plugin-basic-ui@1.5.3,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.10,1
stackflow,@stackflow/plugin-history-sync@1.4.0,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.6,1
stackflow,@stackflow/plugin-preload@1.3.0,1
stackflow,@stackflow/plugin-renderer-basic@1.1.8,1
stackflow,@stackflow/plugin-renderer-web@1.1.8,1
stackflow,@stackflow/react@1.1.8,1
stackflow,@stackflow/plugin-basic-ui@1.6.0,72
stackflow,@stackflow/plugin-history-sync@1.5.0,1
stackflow,@stackflow/react@1.1.9,3
stackflow,@stackflow/plugin-basic-ui@1.7.0,3
stackflow,@stackflow/core@1.0.11,31
stackflow,@stackflow/plugin-history-sync@1.5.1,1
stackflow,@stackflow/core@1.0.12,10
stackflow,@stackflow/compat-await-push@1.1.9,1
stackflow,@stackflow/link@1.4.1,1
stackflow,@stackflow/plugin-basic-ui@1.8.0,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.11,1
stackflow,@stackflow/plugin-devtools@0.1.9,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.7,1
stackflow,@stackflow/plugin-history-sync@1.5.2,1
stackflow,@stackflow/plugin-preload@1.3.1,1
stackflow,@stackflow/plugin-renderer-basic@1.1.9,1
stackflow,@stackflow/plugin-renderer-web@1.1.9,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.3,1
stackflow,@stackflow/react@1.1.10,1
stackflow,@stackflow/esbuild-config@1.0.2,1
stackflow,@stackflow/plugin-history-sync@1.5.3,2
stackflow,@stackflow/plugin-basic-ui@1.8.1,2
stackflow,@stackflow/compat-await-push@1.1.10,2
stackflow,@stackflow/link@1.4.2,1
stackflow,@stackflow/plugin-basic-ui@1.8.2,1
stackflow,@stackflow/core@1.0.13,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.12,1
stackflow,@stackflow/plugin-devtools@0.1.10,1
stackflow,@stackflow/plugin-history-sync@1.5.4,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.8,1
stackflow,@stackflow/plugin-preload@1.3.2,1
stackflow,@stackflow/plugin-renderer-web@1.1.10,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.4,1
stackflow,@stackflow/plugin-renderer-basic@1.1.10,1
stackflow,@stackflow/react@1.1.11,1
stackflow,@stackflow/esbuild-config@1.0.3,1
stackflow,@stackflow/compat-await-push@1.1.11,5
stackflow,@stackflow/config@1.1.0,1
stackflow,@stackflow/link@1.4.3,1
stackflow,@stackflow/plugin-basic-ui@1.8.3,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.13,1
stackflow,@stackflow/plugin-history-sync@1.6.0,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.9,1
stackflow,@stackflow/plugin-preload@1.3.3,1
stackflow,@stackflow/plugin-renderer-basic@1.1.11,1
stackflow,@stackflow/plugin-renderer-web@1.1.11,1
stackflow,@stackflow/react@1.2.0,1
stackflow,@stackflow/react@1.2.1,1
stackflow,@stackflow/plugin-basic-ui@1.8.4,3
stackflow,@stackflow/plugin-preload@1.4.0,1
stackflow,@stackflow/plugin-basic-ui@1.9.0,5
stackflow,@stackflow/react-ui-core@1.1.0,1
stackflow,@stackflow/react@1.2.2,1
stackflow,@stackflow/core@1.0.14,1
stackflow,@stackflow/plugin-history-sync@1.6.1,1
stackflow,@stackflow/core@1.1.0,5
stackflow,@stackflow/compat-await-push@1.1.12,1
stackflow,@stackflow/link@1.4.4,1
stackflow,@stackflow/plugin-basic-ui@1.9.1,1
stackflow,@stackflow/plugin-devtools@0.1.11,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.14,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.10,1
stackflow,@stackflow/plugin-preload@1.4.1,1
stackflow,@stackflow/plugin-history-sync@1.6.2,1
stackflow,@stackflow/plugin-renderer-basic@1.1.12,1
stackflow,@stackflow/plugin-renderer-web@1.1.12,1
stackflow,@stackflow/react-ui-core@1.1.1,1
stackflow,@stackflow/plugin-stack-depth-change@1.1.5,1
stackflow,@stackflow/react@1.3.0,1
stackflow,@stackflow/react@1.3.1,1
stackflow,@stackflow/plugin-history-sync@1.6.3,6
stackflow,@stackflow/compat-await-push@1.1.13,10
stackflow,@stackflow/link@1.4.5,1
stackflow,@stackflow/plugin-basic-ui@1.9.2,1
stackflow,@stackflow/plugin-google-analytics-4@1.1.15,1
stackflow,@stackflow/plugin-map-initial-activity@1.0.11,1
stackflow,@stackflow/plugin-preload@1.4.2,1
stackflow,@stackflow/plugin-renderer-basic@1.1.13,1
stackflow,@stackflow/react-ui-core@1.1.2,1
stackflow,@stackflow/plugin-renderer-web@1.1.13,1
stackflow,@stackflow/react@1.3.2,1
stackflow,@stackflow/plugin-basic-ui@1.10.0,7
stackflow,@stackflow/config@1.2.0,12
stackflow,@stackflow/plugin-history-sync@1.7.0,1
stackflow,@stackflow/link@1.5.0,1
stackflow,@stackflow/react@1.4.0,1
stackflow,@stackflow/plugin-preload@1.4.3,1
stackflow,@stackflow/react@1.4.1,20
stackflow,@stackflow/link@1.6.0,13
stackflow,@stackflow/plugin-basic-ui@1.10.1,8
stackflow,@stackflow/plugin-basic-ui@1.11.0,22
stackflow,@stackflow/react-ui-core@1.2.0,1
stackflow,@stackflow/react-ui-core@1.2.1,1
stackflow,@stackflow/plugin-basic-ui@1.11.1,1
stackflow,@stackflow/config@1.2.1,26
stackflow,@stackflow/core@1.1.1,1
stackflow,@stackflow/link@1.6.1,1
stackflow,@stackflow/react@1.4.2,1
stackflow,@stackflow/plugin-history-sync@1.7.1,1
